course_name,driver_id_1,name_1,rarity_1,special_skill_1,win_loss_1,driver_id_2,name_2,rarity_2,special_skill_2,win_loss_2,driver_id_3,name_3,rarity_3,special_skill_3,win_loss_3,driver_id_4,name_4,rarity_4,special_skill_4,win_loss_4,driver_id_5,name_5,rarity_5,special_skill_5,win_loss_5
3DS Cheep Cheep Lagoon,2.0,Baby Peach,Normal,Bubble,1,22.0,Rosalina,Super,Dash Ring,0,35.0,Black Shy Guy,Super,Bob-omb Cannon,0,44.0,Birdo (Yellow),Super,Birdo's Egg,0,78.0,Mario (Swimwear),High-End,Dash Ring,0
3DS Cheep Cheep Lagoon R,11.0,Lemmy,Normal,Bubble,1,19.0,Daisy,Super,Heart,0,36.0,Red Koopa (Freerunning),Super,Fire Flower,0,79.0,Captain Toad,High-End,Hammer,0,106.0,Funky Kong,High-End,Banana Barrels,0
3DS Cheep Cheep Lagoon R/T,6.0,Koopa Troopa,Normal,Triple Green Shells,1,41.0,Boomerang Bro,Super,Boomerang Flower,0,54.0,Peach (Vacation),High-End,Coin Box,0,60.0,Mario (Happi),High-End,Bob-omb Cannon,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0
3DS Cheep Cheep Lagoon T,16.0,Mario,Super,Fire Flower,1,23.0,Luigi,Super,Fire Flower,0,31.0,Bowser Jr.,Super,Bowser's Shell,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0,79.0,Captain Toad,High-End,Hammer,0
3DS Daisy Hills,19.0,Daisy,Super,Heart,1,50.0,Mario (Musician),High-End,Double Bob-ombs,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0
3DS Daisy Hills R,21.0,Toadette,Super,Triple Mushrooms,1,51.0,Peach (Kimono),High-End,Mushroom Cannon,0,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0
3DS Daisy Hills R/T,3.0,Baby Daisy,Normal,Bubble,1,25.0,Red Yoshi,Super,Yoshi's Egg,0,49.0,Pauline,High-End,Lucky Seven,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0
3DS Daisy Hills T,3.0,Baby Daisy,Normal,Bubble,1,19.0,Daisy,Super,Heart,0,54.0,Peach (Vacation),High-End,Coin Box,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,87.0,Builder Luigi,High-End,Hammer,0
3DS Mario Circuit R,20.0,Toad,Super,Triple Mushrooms,1,22.0,Rosalina,Super,Dash Ring,0,54.0,Peach (Vacation),High-End,Coin Box,0,61.0,Toad (Party Time),High-End,Mushroom Cannon,0,74.0,Daisy (Fairy),High-End,Heat,0
3DS Mario Circuit R/T,48.0,Peachette,High-End,Mushroom Cannon,1,55.0,Mario (Santa),High-End,Fire Flower,0,62.0,Peach (Wintertime),High-End,Dash Ring,0,63.0,Penguin Luigi,High-End,Ice Flower,0,68.0,Luigi (Classic),High-End,Lucky Seven,0
3DS Mario Circuit T,16.0,Mario,Super,Fire Flower,1,24.0,Toad (Pit Crew),Super,Boomerang Flower,0,52.0,Mario (Hakama),High-End,Coin Box,0,66.0,Rosalina (Aurora),High-End,Ice Flower,0,84.0,Mario (Halloween),High-End,Lucky Seven,0
3DS Neo Bowser City,27.0,Bowser,Super,Bowser's Shell,1,31.0,Bowser Jr.,Super,Bowser's Shell,0,42.0,Ice Bro,Super,Ice Flower,0,102.0,Waluigi (Bus Driver),High-End,Triple Bananas,0,106.0,Funky Kong,High-End,Banana Barrels,0
3DS Neo Bowser City R,33.0,Waluigi,Super,Double Bob-ombs,1,84.0,Mario (Halloween),High-End,Lucky Seven,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0,103.0,Gold Koopa (Freerunning),High-End,Coin Box,0,109.0,Wario (Cowboy),High-End,Fire Flower,0
3DS Neo Bowser City R/T,12.0,Ludwig,Normal,Dash Ring,1,59.0,Pauline (Party Time),High-End,Coin Box,0,64.0,Ice Mario,High-End,Ice Flower,0,85.0,Peach (Halloween),High-End,Fire Flower,0,99.0,Dry Bowser,High-End,Bowser's Shell,0
3DS Neo Bowser City T,31.0,Bowser Jr.,Super,Bowser's Shell,1,99.0,Dry Bowser,High-End,Bowser's Shell,0,102.0,Waluigi (Bus Driver),High-End,Triple Bananas,0,106.0,Funky Kong,High-End,Banana Barrels,0,108.0,Dry Bowser (Gold),High-End,Bob-omb Cannon,0
3DS Rainbow Road,11.0,Lemmy,Normal,Bubble,1,39.0,Birdo (Light Blue),Super,Birdo's Egg,0,60.0,Mario (Happi),High-End,Bob-omb Cannon,0,66.0,Rosalina (Aurora),High-End,Ice Flower,0,74.0,Daisy (Fairy),High-End,Heat,0
3DS Rainbow Road R,33.0,Waluigi,Super,Double Bob-ombs,1,59.0,Pauline (Party Time),High-End,Coin Box,0,64.0,Ice Mario,High-End,Ice Flower,0,66.0,Rosalina (Aurora),High-End,Ice Flower,0,92.0,Pauline (Rose),High-End,Fire Flower,0
3DS Rainbow Road R/T,56.0,Pink Gold Peach,High-End,Coin Box,1,64.0,Ice Mario,High-End,Ice Flower,0,66.0,Rosalina (Aurora),High-End,Ice Flower,0,92.0,Pauline (Rose),High-End,Fire Flower,0,97.0,Builder Toadette,High-End,Hammer,0
3DS Rainbow Road T,27.0,Bowser,Super,Bowser's Shell,1,37.0,Birdo,Super,Birdo's Egg,0,56.0,Pink Gold Peach,High-End,Coin Box,0,64.0,Ice Mario,High-End,Ice Flower,0,108.0,Dry Bowser (Gold),High-End,Bob-omb Cannon,0
3DS Rock Rock Mountain,18.0,Yoshi,Super,Yoshi's Egg,1,28.0,Donkey Kong,Super,Giant Banana,0,33.0,Waluigi,Super,Double Bob-ombs,0,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0
3DS Rock Rock Mountain R,29.0,Diddy Kong,Super,Banana Barrels,1,47.0,Metal Mario,High-End,Fire Flower,0,60.0,Mario (Happi),High-End,Bob-omb Cannon,0,63.0,Penguin Luigi,High-End,Ice Flower,0,106.0,Funky Kong,High-End,Banana Barrels,0
3DS Rock Rock Mountain T,20.0,Toad,Super,Triple Mushrooms,1,25.0,Red Yoshi,Super,Yoshi's Egg,0,41.0,Boomerang Bro,Super,Boomerang Flower,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,100.0,King Boo (Luigi's Mansion),High-End,Bob-omb Cannon,0
3DS Rosalina's Ice World,86.0,Peach (Explorer),High-End,Bob-omb Cannon,1,88.0,Fire Rosalina,High-End,Fire Flower,0,110.0,Nabbit,High-End,Wild West Tour,0,112.0,King Bob-omb,High-End,Pirate Tour,0,114.0,Shy Guy (Gold),High-End,Giga Bob-omb,0
3DS Rosalina's Ice World R,24.0,Toad (Pit Crew),Super,Boomerang Flower,1,64.0,Ice Mario,High-End,Ice Flower,0,85.0,Peach (Halloween),High-End,Fire Flower,0,91.0,Cat Toad,High-End,Super Bell,0,110.0,Nabbit,High-End,Wild West Tour,0
3DS Rosalina's Ice World T,53.0,Rosalina (Halloween),High-End,Dash Ring,1,55.0,Mario (Santa),High-End,Fire Flower,0,63.0,Penguin Luigi,High-End,Ice Flower,0,87.0,Builder Luigi,High-End,Hammer,0,90.0,Cat Peach,High-End,Super Bell,0
3DS Shy Guy Bazaar,7.0,Shy Guy,Normal,Double Bob-ombs,1,34.0,King Boo,Super,Lucky Seven,0,47.0,Metal Mario,High-End,Fire Flower,0,53.0,Rosalina (Halloween),High-End,Dash Ring,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0
3DS Shy Guy Bazaar R,19.0,Daisy,Super,Heart,1,43.0,Fire Bro,Super,Fire Flower,0,81.0,Daisy (Yukata),High-End,Fire Flower,0,99.0,Dry Bowser,High-End,Bowser's Shell,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0
3DS Shy Guy Bazaar R/T,33.0,Waluigi,Super,Double Bob-ombs,1,38.0,Pink Shy Guy,Super,Heart,0,44.0,Birdo (Yellow),Super,Birdo's Egg,0,46.0,Green Shy Guy,Super,Triple Green Shells,0,59.0,Pauline (Party Time),High-End,Coin Box,0
3DS Shy Guy Bazaar T,8.0,Dry Bones,Normal,Triple Green Shells,1,38.0,Pink Shy Guy,Super,Heart,0,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,100.0,King Boo (Luigi's Mansion),High-End,Bob-omb Cannon,0
3DS Toad Circuit,20.0,Toad,Super,Triple Mushrooms,1,21.0,Toadette,Super,Triple Mushrooms,0,40.0,Hammer Bro,Super,Hammer,0,48.0,Peachette,High-End,Mushroom Cannon,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0
3DS Toad Circuit R,29.0,Diddy Kong,Super,Banana Barrels,1,54.0,Peach (Vacation),High-End,Coin Box,0,61.0,Toad (Party Time),High-End,Mushroom Cannon,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0
3DS Toad Circuit R/T,20.0,Toad,Super,Triple Mushrooms,1,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,0,61.0,Toad (Party Time),High-End,Mushroom Cannon,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0,79.0,Captain Toad,High-End,Hammer,0
3DS Toad Circuit T,30.0,Lakitu,Super,Triple Green Shells,1,36.0,Red Koopa (Freerunning),Super,Fire Flower,0,48.0,Peachette,High-End,Mushroom Cannon,0,61.0,Toad (Party Time),High-End,Mushroom Cannon,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0
Berlin Byways 2R,63.0,Penguin Luigi,High-End,Ice Flower,1,66.0,Rosalina (Aurora),High-End,Ice Flower,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0,114.0,Shy Guy (Gold),High-End,Giga Bob-omb,0
Berlin Byways 2R/T,61.0,Toad (Party Time),High-End,Mushroom Cannon,1,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0,102.0,Waluigi (Bus Driver),High-End,Triple Bananas,0,112.0,King Bob-omb,High-End,Pirate Tour,0
DS Airship Fortress,78.0,Mario (Swimwear),High-End,Dash Ring,1,81.0,Daisy (Yukata),High-End,Fire Flower,0,85.0,Peach (Halloween),High-End,Fire Flower,0,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0,90.0,Cat Peach,High-End,Super Bell,0
DS Airship Fortress R,43.0,Fire Bro,Super,Fire Flower,1,88.0,Fire Rosalina,High-End,Fire Flower,0,108.0,Dry Bowser (Gold),High-End,Bob-omb Cannon,0,111.0,Bowser Jr. (Pirate),High-End,Bob-omb Cannon,0,112.0,King Bob-omb,High-End,Pirate Tour,0
DS Airship Fortress T,40.0,Hammer Bro,Super,Hammer,1,87.0,Builder Luigi,High-End,Hammer,0,88.0,Fire Rosalina,High-End,Fire Flower,0,100.0,King Boo (Luigi's Mansion),High-End,Bob-omb Cannon,0,109.0,Wario (Cowboy),High-End,Fire Flower,0
