course_name,driver_id_1
3DS Cheep Cheep Lagoon,60.0
3DS Cheep Cheep Lagoon R/T,10.0
3DS Cheep Cheep Lagoon T,70.0
3DS Daisy Hills R/T,7.0
3DS Mario Circuit R,17.0
3DS Mario Circuit T,6.0
3DS Neo Bowser City R,108.0
3DS Neo Bowser City T,50.0
3DS Rainbow Road,2.0
3DS Rainbow Road R,54.0
3DS Rainbow Road R/T,84.0
3DS Rainbow Road T,11.0
3DS Rock Rock Mountain,63.0
3DS Rock Rock Mountain R,100.0
3DS Rock Rock Mountain T,99.0
3DS Rosalina's Ice World,93.0
3DS Rosalina's Ice World R,117.0
3DS Shy Guy Bazaar,114.0
3DS Shy Guy Bazaar R,49.0
3DS Shy Guy Bazaar R/T,116.0
3DS Shy Guy Bazaar T,19.0
3DS Toad Circuit,95.0
3DS Toad Circuit R,45.0
3DS Toad Circuit T,72.0
DS Airship Fortress,79.0
DS Airship Fortress R,78.0
DS Airship Fortress T,78.0
DS DK Pass,66.0
DS DK Pass R,55.0
DS DK Pass T,100.0
DS Luigi's Mansion,48.0
DS Luigi's Mansion R,57.0
DS Luigi's Mansion R/T,87.0
DS Luigi's Mansion T,69.0
DS Waluigi Pinball,47.0
DS Waluigi Pinball R,23.0
DS Waluigi Pinball R/T,5.0
DS Waluigi Pinball T,37.0
GBA Bowser's Castle 1,8.0
GBA Bowser's Castle 1R,27.0
GBA Bowser's Castle 1R/T,14.0
GBA Bowser's Castle 1T,9.0
GBA Bowser's Castle 2,34.0
GBA Bowser's Castle 2R,15.0
GBA Bowser's Castle 2R/T,32.0
GBA Sunset Wilds T,26.0
GCN Dino Dino Jungle,86.0
GCN Dino Dino Jungle R,18.0
GCN Dino Dino Jungle R/T,13.0
GCN Yoshi Circuit,118.0
GCN Yoshi Circuit R,74.0
GCN Yoshi Circuit R/T,12.0
GCN Yoshi Circuit T,36.0
Merry Mountain,91.0
Merry Mountain R,116.0
Merry Mountain T,90.0
N64 Choco Mountain,71.0
N64 Choco Mountain R,80.0
N64 Choco Mountain T,77.0
N64 Frappe Snowland,58.0
N64 Frappe Snowland R,58.0
N64 Frappe Snowland T,53.0
N64 Kalimari Desert,33.0
N64 Kalimari Desert 2,79.0
N64 Kalimari Desert 2R,59.0
N64 Kalimari Desert 2T,61.0
N64 Kalimari Desert R,41.0
N64 Koopa Troopa Beach,20.0
N64 Koopa Troopa Beach R,16.0
N64 Koopa Troopa Beach T,96.0
N64 Royal Raceway,51.0
N64 Royal Raceway R,56.0
N64 Royal Raceway T,59.0
Ninja Hideaway,120.0
Ninja Hideaway R,46.0
Ninja Hideaway T,119.0
RMX Choco Island 1,62.0
RMX Choco Island 1R,49.0
RMX Choco Island 1T,72.0
RMX Choco Island 2,92.0
RMX Choco Island 2T,119.0
RMX Mario Circuit 1,62.0
RMX Mario Circuit 1R,77.0
RMX Mario Circuit 1R/T,24.0
RMX Mario Circuit 1T,57.0
RMX Rainbow Road 1,108.0
RMX Rainbow Road 1R,66.0
RMX Rainbow Road 1T,28.0
RMX Rainbow Road 2T,120.0
SNES Choco Island 2,35.0
SNES Choco Island 2R/T,3.0
SNES Donut Plains 1,48.0
SNES Donut Plains 1R,43.0
SNES Donut Plains 1R/T,39.0
SNES Donut Plains 1T,67.0
SNES Donut Plains 2,91.0
SNES Donut Plains 2R/T,95.0
SNES Donut Plains 2T,90.0
SNES Ghost Valley 1,71.0
SNES Ghost Valley 1R,53.0
SNES Ghost Valley 1R/T,87.0
SNES Ghost Valley 1T,52.0
SNES Koopa Troopa Beach 2,76.0
SNES Koopa Troopa Beach 2T,63.0
SNES Mario Circuit 1,54.0
SNES Mario Circuit 1R,52.0
SNES Mario Circuit 1R/T,97.0
SNES Mario Circuit 2,30.0
SNES Mario Circuit 2R/T,25.0
SNES Mario Circuit 2T,31.0
SNES Mario Circuit 3,67.0
SNES Mario Circuit 3R,42.0
SNES Mario Circuit 3T,22.0
SNES Rainbow Road,51.0
SNES Rainbow Road R,83.0
SNES Rainbow Road T,115.0
SNES Vanilla Lake 1R,47.0
SNES Vanilla Lake 1R/T,1.0
SNES Vanilla Lake 1T,64.0
Tokyo Blur 4R/T,94.0
Wii DK Summit,96.0
Wii DK Summit R,93.0
Wii Maple Treeway,114.0
Wii Maple Treeway T,84.0
